row_id,zone,state,lga,period,live_births_count
290,South East,Abia,ab Ikwuano Local Government Area,25-Feb,40
291,South East,Abia,ab Ikwuano Local Government Area,25-Mar,19
292,South East,Abia,ab Ikwuano Local Government Area,25-Apr,42
293,South East,Abia,ab Ikwuano Local Government Area,25-May,36
294,South East,Abia,ab Ikwuano Local Government Area,25-Jun,59
295,South East,Abia,ab Ikwuano Local Government Area,25-Jul,47
296,South East,Abia,ab Ikwuano Local Government Area,25-Aug,29
297,South East,Abia,ab Ikwuano Local Government Area,25-Sep,60
298,South East,Abia,ab Ikwuano Local Government Area,25-Oct,62
299,South East,Abia,ab Ikwuano Local Government Area,25-Nov,56
300,South East,Abia,ab Ikwuano Local Government Area,25-Dec,34
301,South East,Abia,ab Isiala-Ngwa North Local Government Area,21-Jan,24
302,South East,Abia,ab Isiala-Ngwa North Local Government Area,21-Feb,47
303,South East,Abia,ab Isiala-Ngwa North Local Government Area,21-Mar,59
304,South East,Abia,ab Isiala-Ngwa North Local Government Area,21-Apr,59
305,South East,Abia,ab Isiala-Ngwa North Local Government Area,21-May,59
306,South East,Abia,ab Isiala-Ngwa North Local Government Area,21-Jun,47
307,South East,Abia,ab Isiala-Ngwa North Local Government Area,21-Jul,50
308,South East,Abia,ab Isiala-Ngwa North Local Government Area,21-Aug,68
309,South East,Abia,ab Isiala-Ngwa North Local Government Area,21-Sep,43
310,South East,Abia,ab Isiala-Ngwa North Local Government Area,21-Oct,73
311,South East,Abia,ab Isiala-Ngwa North Local Government Area,21-Nov,48
312,South East,Abia,ab Isiala-Ngwa North Local Government Area,21-Dec,45
313,South East,Abia,ab Isiala-Ngwa North Local Government Area,22-Jan,42
314,South East,Abia,ab Isiala-Ngwa North Local Government Area,22-Feb,36
315,South East,Abia,ab Isiala-Ngwa North Local Government Area,22-Mar,53
316,South East,Abia,ab Isiala-Ngwa North Local Government Area,22-Apr,63
317,South East,Abia,ab Isiala-Ngwa North Local Government Area,22-May,56
318,South East,Abia,ab Isiala-Ngwa North Local Government Area,22-Jun,44
319,South East,Abia,ab Isiala-Ngwa North Local Government Area,22-Jul,38
320,South East,Abia,ab Isiala-Ngwa North Local Government Area,22-Aug,53
321,South East,Abia,ab Isiala-Ngwa North Local Government Area,22-Sep,56
322,South East,Abia,ab Isiala-Ngwa North Local Government Area,22-Oct,41
323,South East,Abia,ab Isiala-Ngwa North Local Government Area,22-Nov,63
324,South East,Abia,ab Isiala-Ngwa North Local Government Area,22-Dec,36
325,South East,Abia,ab Isiala-Ngwa North Local Government Area,23-Jan,72
326,South East,Abia,ab Isiala-Ngwa North Local Government Area,23-Feb,35
327,South East,Abia,ab Isiala-Ngwa North Local Government Area,23-Mar,65
328,South East,Abia,ab Isiala-Ngwa North Local Government Area,23-Apr,53
329,South East,Abia,ab Isiala-Ngwa North Local Government Area,23-May,15
330,South East,Abia,ab Isiala-Ngwa North Local Government Area,23-Jun,49
331,South East,Abia,ab Isiala-Ngwa North Local Government Area,23-Jul,47
332,South East,Abia,ab Isiala-Ngwa North Local Government Area,23-Aug,58
333,South East,Abia,ab Isiala-Ngwa North Local Government Area,23-Sep,38
334,South East,Abia,ab Isiala-Ngwa North Local Government Area,23-Oct,52
335,South East,Abia,ab Isiala-Ngwa North Local Government Area,23-Nov,32
336,South East,Abia,ab Isiala-Ngwa North Local Government Area,23-Dec,32
337,South East,Abia,ab Isiala-Ngwa North Local Government Area,24-Jan,46
338,South East,Abia,ab Isiala-Ngwa North Local Government Area,24-Feb,31
339,South East,Abia,ab Isiala-Ngwa North Local Government Area,24-Mar,30
340,South East,Abia,ab Isiala-Ngwa North Local Government Area,24-Apr,20
341,South East,Abia,ab Isiala-Ngwa North Local Government Area,24-May,35
342,South East,Abia,ab Isiala-Ngwa North Local Government Area,24-Jun,38
343,South East,Abia,ab Isiala-Ngwa North Local Government Area,24-Jul,51
344,South East,Abia,ab Isiala-Ngwa North Local Government Area,24-Aug,42
345,South East,Abia,ab Isiala-Ngwa North Local Government Area,24-Sep,45
346,South East,Abia,ab Isiala-Ngwa North Local Government Area,24-Oct,57
347,South East,Abia,ab Isiala-Ngwa North Local Government Area,24-Nov,49
348,South East,Abia,ab Isiala-Ngwa North Local Government Area,24-Dec,36
349,South East,Abia,ab Isiala-Ngwa North Local Government Area,25-Jan,29
350,South East,Abia,ab Isiala-Ngwa North Local Government Area,25-Feb,45
351,South East,Abia,ab Isiala-Ngwa North Local Government Area,25-Mar,45
352,South East,Abia,ab Isiala-Ngwa North Local Government Area,25-Apr,49
353,South East,Abia,ab Isiala-Ngwa North Local Government Area,25-May,45
